year,japan,usa,germany,china
1990,6721.1082136089,11713.3317042099,6639.73169146049,510.619854913516
1991,6902.41521732116,12134.1721315039,6564.79719472728,548.953753106589
1992,6917.03435804702,12014.9582478929,6445.87399989269,604.694541490339
1993,6961.62750642879,12261.5237824091,6288.41635005255,662.63704558569
1994,7383.90132451389,12455.1621656545,6244.95722825812,727.107359659684
1995,7530.67616679419,12659.607628118,6327.70975399499,770.280241190849
1996,7686.220250165,12854.2989079193,6403.33372597692,821.080859102296
1997,7831.60792339973,12889.8322801175,6427.79876840273,852.740686543503
1998,7779.31962025316,13154.7630268185,6479.49024948385,870.617222318398
1999,7903.23854348461,13281.8699827982,6505.13299942364,913.963447975829
2000,8048.23285478899,13671.0520240061,6635.42140596667,992.943384720171
2001,7903.10580500043,13046.6141478464,6762.65339646636,1076.54912135865
2002,7991.30605359175,13296.1822993023,6900.78052702986,1194.85629490784
2003,7900.93800404015,13307.4920085002,7015.50591599776,1379.48463210183
2004,8137.06843246374,13388.5897105591,7116.23381864374,1585.83878247787
2005,8301.01821198532,13704.5770481407,7144.70873822785,1782.31215291627
2006,8327.23262471256,13583.2669593387,7219.9881492831,2039.0146603408
2007,8539.98015640503,13657.4528282523,7238.49837452416,2325.92676902765
2008,8270.48405862739,13663.4279681827,7197.68970678478,2446.36905458402
2009,8138.75373886151,12913.7146883015,6827.56103561283,2612.45662004417
2010,8774.2796907941,13392.6910118339,7265.99787984215,2943.58995443689
2011,8322.45977173343,13235.0087662575,7281.95731913142,3295.78486805176
2012,8271.26280077412,12945.1570388321,7251.52666451421,3466.02027780444
2013,8290.74502726666,12972.2199687868,7217.18189106524,3757.18508846571
2014,8113.24208806059,12962.1425409629,7035.61880653228,4006.16826789906
2015,8007.09448564979,12828.8160828838,7032.02144106578,4017.07781948893
2016,8066.01561270421,12806.1977101885,6972.36527283762,4237.54530584599
2017,8190.60107740289,12604.1625559233,6947.26382648139,4571.04242541442
2018,8058.01547184393,13054.4045353944,6815.82136213371,4842.2067923237
2019,7853.03988691731,12678.2540503665,6580.29256436905,5082.38779040238
2020,7687.25893189504,12393.4382563461,6367.10502947955,5261.94103890582
2021,7960.01209182637,12556.0915792291,6582.54587433797,5847.80226004701
2022,7800.08060580129,12968.1628097364,6316.27571164921,6112.13553560996
2023,7655.01641748312,12551.2256333524,5947.27119952649,6523.71926193193
